系列,遭遇组,编号,卡牌名称,英文名称,类型,探险编号,图片链接,卡牌数量,探险进度,交战值,威胁值,攻击力,防御值,探险点数,生命值,意志值,特性,胜利,准备卡牌,放置一旁,关键字
乌姆巴尔海岸,乌姆巴尔海岸,295,海盗水域,Corsair Waters,地区,,a3173fc4-1ddb-470d-ae12-a35e24ea63a3.jpg,2,,,4,,,3,,,海洋|海岸,,,,航行1
乌姆巴尔海岸,乌姆巴尔海岸,296,瞭望塔,Watch Tower,地区,,04f24d17-9764-4385-b22c-0e45f6fa5654.jpg,2,,,2,,,3,,,昂巴|海岸,,,,
乌姆巴尔海岸,乌姆巴尔海岸,297,黑蛇之尾,Serpent's Tail,诡计,,86e8724b-32cb-4d63-b918-5754d39d2249.jpg,2,,,,,,,,,,,,,
海盗之城,海盗之城,298,萨伊尔船长,Captain Sahír,敌人,,c354e410-e15a-4999-bb14-696b5e89cee9.jpg,1,,4,6,6,2,,8,,独特|海盗|掠夺者|被腐化的,20,,,
海盗之城,海盗之城,299,被毁坏的纪念碑,The Shattered Monument,地区,,f811f153-81f4-4688-8b4d-400215e6748a.jpg,1,,,4,,,8,,,昂巴|独特,5,,,
海盗之城,海盗之城,300,海盗之城,City of Corsairs,地区,,06badf71-8e85-479e-8ddf-1dec7a40e325.jpg,2,,,X,,,4,,,昂巴|城市,,,,
海盗之城,海盗之城,301,昂巴的街道,Streets of Umbar,地区,,dd394c76-c2b9-4b1c-8948-a056de97b779.jpg,3,,,1,,,5,,,昂巴|城市,,,,
海盗之城,海盗之城,302,昂巴海港,Umbar Harbor,地区,,5c0a0aea-af43-441b-9d7f-86a1dfd09f00.jpg,3,,,4,,,4,,,昂巴|城市,,,,
海盗之城,海盗之城,303,爱克西力昂的劲敌,Foes of Ecthelion,诡计,,720b2482-f69c-4a88-8352-721d854704d2.jpg,2,,,,,,,,,,,,,
海盗之城,海盗之城,303,昂巴巡逻,Umbar Patrol,诡计,,7f0e7969-bca4-48a3-99b5-ba055bd376af.jpg,2,,,,,,,,,,,,,
海盗之城,海盗之城,304,愤怒和怨恨,Fury and Malice,诡计,,b4769083-91fb-4e9c-9736-17e8c28ff971.jpg,3,,,,,,,,,,,,,
伊瑞赫之石,,305,一去不返,The Disappearance,探险,1a,e4af5d7f-9af5-41bb-b22a-cce8b91ac791.jpg,1,0,,,,,,,,,,,,
伊瑞赫之石,,306,一去不返,The Disappearance,探险,1b,e4af5d7f-9af5-41bb-b22a-cce8b91ac791.B.jpg,1,6,,,,,,,,,,,,
伊瑞赫之石,,307,亡者的恐惧,Terror of the Dead,探险,2a,ecc8fd11-b2b9-4adc-91eb-6fcc1212e7ce.jpg,1,0,,,,,,,,,,,,
伊瑞赫之石,,308,亡者的恐惧,Terror of the Dead,探险,2b,ecc8fd11-b2b9-4adc-91eb-6fcc1212e7ce.B.jpg,1,8,,,,,,,,,,,,
伊瑞赫之石,,309,幽冥大军,The Shadow Host,探险,3a,efd4cef9-ce8b-4985-8825-853ba98baa2b.jpg,1,0,,,,,,,,,,,,
伊瑞赫之石,,310,幽冥大军,The Shadow Host,探险,3b,efd4cef9-ce8b-4985-8825-853ba98baa2b.B.jpg,1,14,,,,,,,,,,,,午夜
伊瑞赫之石,伊瑞赫之石,311,迪鲁芬,Derufin,目标|盟友,,f93a8fda-7383-41c9-b86d-c5ba1fec760d.jpg,1,,,,1,1,,2,3,刚铎,,,,
伊瑞赫之石,伊瑞赫之石,312,亡者之王,The Lord of the Dead,敌人,,7b9dd852-ed19-4a00-b09e-f6c2cee549fa.jpg,1,,30,5,6,3,,9,,亡灵|毁誓者|独特,,,,幽灵
伊瑞赫之石,伊瑞赫之石,313,伊瑞赫之石,The Stone of Erech,地区,,822ca699-4763-4b8c-baff-d8d828c002a9.jpg,1,,,X,,,6,,,黑根谷,5,,,
伊瑞赫之石,伊瑞赫之石,314,塔龙之颈,Tarlang's Neck,地区,,88df7c56-ee11-48f0-b6a0-0486e0a8ce92.jpg,1,,,3,,,6,,,黑根谷|路|独特,1,,,
伊瑞赫之石,伊瑞赫之石,315,黄昏,Eventide,目标,,36a22f2b-56d9-4148-a962-f7fbdf60f3a1.jpg,1,,,,,,,,,夜晚,,,,
伊瑞赫之石,伊瑞赫之石,316,日暮,Dusk,目标,,d3c68791-c3f9-4e8d-9515-2496f9ca1895.jpg,1,,,,,,,,,夜晚,,,,
伊瑞赫之石,伊瑞赫之石,317,午夜,Midnight,目标,,0c15f99d-9066-4e7c-b364-104a0083d997.jpg,1,,,,,,,,,,,,,夜晚
伊瑞赫之石,伊瑞赫之石,318,黑暗年代的遗物,Relic from the Dark Years,目标,,7b0eb4e5-962c-4041-baea-3a09a83fb996.jpg,1,,,,,,,,,,,,,午夜
伊瑞赫之石,伊瑞赫之石,319,幽冥人,Shadow-man,敌人,,8ece887c-6ca7-467d-80d4-3f28afa13433.jpg,2,,27,2,4,1,,5,,亡灵|毁誓者,,,,幽灵
伊瑞赫之石,伊瑞赫之石,320,躁动的死者,Restless Dead,敌人,,65f48337-cec0-41a1-84ff-490c4f563ce4.jpg,4,,12,2,3,0,,2,,亡灵|毁誓者,,,,幽灵
伊瑞赫之石,伊瑞赫之石,321,私语者,Whisperer,敌人,,43bb02ff-9fcc-47e8-822c-ffcd620c9fc4.jpg,3,,35,2,2,2,,4,,亡灵|毁誓者,,,,幽灵
伊瑞赫之石,伊瑞赫之石,322,幽冥大军首领,Shadow Host Captain,敌人,,a7d52939-2989-44d2-b81b-571db0ee8c16.jpg,2,,42,3,4,1,,6,,亡灵|毁誓者,,,,幽灵
伊瑞赫之石,伊瑞赫之石,323,悔恨的亡灵,Regretful Shade,敌人,,f079c496-20bf-4ce4-a5ca-d644172d83fe.jpg,3,,23,1,2,1,,3,,亡灵|毁誓者,,,,幽灵|涌现
伊瑞赫之石,伊瑞赫之石,324,摩颂河岸,Banks of Morthond,地区,,14f7c98c-b425-4fac-850a-729d8fcdaa0c.jpg,2,,,2,,,7,,,黑根谷|河地,,,,
伊瑞赫之石,伊瑞赫之石,325,幽冥谷,Vale of Shadows,地区,,c57661b7-62f9-4906-b2eb-73af91fd8252.jpg,2,,,1,,,3,,,黑根谷,,,,
伊瑞赫之石,伊瑞赫之石,326,黑根墓园,Blackroot Graves,地区,,fc54b033-56cc-4ca9-8e0f-7f1c7b82bd6a.jpg,3,,,4,,,1,,,黑根谷,,,,
伊瑞赫之石,伊瑞赫之石,327,丁默山的阴影,Shadow of Dwimorberg,地区,,02cae27a-3b0c-4396-aea3-8fc2bdd4ffe8.jpg,2,,,1,,,4,,,黑根谷|山脉,,,,
伊瑞赫之石,伊瑞赫之石,328,鬼谷,Haunted Valley,地区,,7a3411df-76a0-432b-a64a-d499b0b1ae50.jpg,2,,,2,,,3,,,黑根谷,,,,
伊瑞赫之石,伊瑞赫之石,329,百鬼夜行,Midnight Throng,诡计,,c29c98de-5660-498c-a5cc-a1800985d221.jpg,2,,,,,,,,,,,,,
伊瑞赫之石,伊瑞赫之石,330,恐惧的呢喃,Murmurs of Dread,诡计,,f985bda2-5029-4c34-91f7-721f830cbd9c.jpg,2,,,,,,,,,,,,,
伊瑞赫之石,伊瑞赫之石,331,紧追在后的恐惧,Groping Horror,诡计,,728f17db-d741-4f1b-92da-8aac3d78432d.jpg,2,,,,,,,,,,,,,
伊瑞赫之石,伊瑞赫之石,332,恐惧驱使,Driven by Fear,诡计,,cdf8dee9-b2ac-4e5f-bf4c-0b9c15cac142.jpg,2,,,,,,,,,,,,,
伊瑞赫之石,伊瑞赫之石,333,亡者紧跟在后,The Dead Ride Behind,诡计,,5e7c36de-a2bb-44e3-951b-80123788d571.jpg,2,,,,,,,,,,,,,
伊瑞赫之石,伊瑞赫之石,334,薄暮,The Gloaming,诡计,,d33ef89b-13c9-49b2-a921-a527f27a415a.jpg,2,,,,,,,,,,,,,涌现
